config,mean_time,AP@[IoU=0.10:0.95],AP@0.10,AP@0.30,AP@0.50,AR@[IoU=0.10:0.95],AR@0.10,AR@0.30,AR@0.50
text=0.9_link=0.6_low=0.4_size=1280,9.046400485130457,0.300455137574743,0.4246587182529876,0.3935070452757502,0.3511737951624041,0.36686507936507934,0.4642857142857143,0.44821428571428573,0.41964285714285715
text=0.9_link=0.6_low=0.4_size=800,3.456853652241254,0.252436161136915,0.3450120967861262,0.34175691660196394,0.30545376008571773,0.2828373015873016,0.35714285714285715,0.3517857142857143,0.33035714285714285
text=0.9_link=0.6_low=0.4_size=500,1.2934217543829054,0.20683947341126852,0.31544109467126485,0.2996627474823047,0.2488745164007712,0.23214285714285715,0.31607142857142856,0.3053571428571429,0.2732142857142857
text=0.9_link=0.4_low=0.4_size=1280,9.094507303692046,0.3068694666446735,0.428930333240176,0.40058062974604614,0.36571270944773443,0.36031746031746037,0.45535714285714285,0.4392857142857143,0.41785714285714287
text=0.9_link=0.4_low=0.4_size=800,3.194960301997615,0.2665188636188802,0.37333981022692836,0.3548092975846723,0.3204541834754185,0.2927579365079365,0.375,0.3625,0.3410714285714286
text=0.9_link=0.4_low=0.4_size=500,1.2543196517687578,0.20044908754259172,0.30611531741409437,0.2915528355111166,0.23071034207327487,0.22232142857142856,0.30178571428571427,0.29285714285714287,0.25892857142857145
text=0.9_link=0.2_low=0.4_size=1280,9.06748062536257,0.33859939626197766,0.4717399191630337,0.4357935793579358,0.4046697068423602,0.3844246031746032,0.48392857142857143,0.4660714285714286,0.44285714285714284
text=0.9_link=0.2_low=0.4_size=800,3.2191210228663225,0.27743901808624466,0.395022846664413,0.36642291054035997,0.33247711718394035,0.30376984126984125,0.39107142857142857,0.3767857142857143,0.35535714285714287
text=0.9_link=0.2_low=0.4_size=500,1.2871033099659703,0.22487348317295608,0.3448173429851972,0.3171813470980644,0.2735424592135252,0.25297619047619047,0.34464285714285714,0.32857142857142857,0.3
text=0.9_link=0.1_low=0.4_size=1280,9.062258159905149,0.3252265814810496,0.465116800108586,0.4399893334617241,0.3687883416807367,0.37202380952380953,0.4785714285714286,0.4607142857142857,0.41785714285714287
text=0.9_link=0.1_low=0.4_size=800,3.3725253229555876,0.29907432980910936,0.4319815079708681,0.40222531708567916,0.3523528811846391,0.3337301587301587,0.43392857142857144,0.41785714285714287,0.3875
text=0.9_link=0.1_low=0.4_size=500,1.2511539286182773,0.2543200146943625,0.4141801034806547,0.3781805688197751,0.30179901626027944,0.2930555555555555,0.41785714285714287,0.39285714285714285,0.3482142857142857
text=0.7_link=0.6_low=0.4_size=1280,9.079329793453217,0.279990639080883,0.4101972932891654,0.3784343579903495,0.32454854639365044,0.37450396825396826,0.4875,0.4625,0.42678571428571427
text=0.7_link=0.6_low=0.4_size=800,3.3676058442969072,0.24993589075872916,0.3736544341757837,0.3404848124163217,0.29766288424574333,0.3044642857142857,0.4035714285714286,0.38571428571428573,0.3517857142857143
text=0.7_link=0.6_low=0.4_size=500,1.3145842229326565,0.21528814977051974,0.3569000638906991,0.3287071744018248,0.24370029531576798,0.26636904761904767,0.38035714285714284,0.3607142857142857,0.30714285714285716
text=0.7_link=0.4_low=0.4_size=1280,10.296921722888946,0.2864770562232692,0.4216238747843848,0.38753376936991,0.339460225263561,0.3651785714285714,0.475,0.4517857142857143,0.42142857142857143
text=0.7_link=0.4_low=0.4_size=800,3.648720300927454,0.2734841500058097,0.39954566192122076,0.3791734267628011,0.3221042201961944,0.31507936507936507,0.4160714285714286,0.4017857142857143,0.36428571428571427
text=0.7_link=0.4_low=0.4_size=500,1.3546681503454845,0.22416477695467985,0.36450673772513104,0.33405743667739224,0.25606851867540886,0.2630952380952381,0.3767857142857143,0.35714285714285715,0.30357142857142855
text=0.7_link=0.2_low=0.4_size=1280,10.86267736223009,0.33045093046898333,0.4730580467714148,0.432524625457367,0.39284790768017447,0.40297619047619043,0.5160714285714286,0.49464285714285716,0.4642857142857143
text=0.7_link=0.2_low=0.4_size=800,3.7075605486879253,0.28244948281048593,0.426964826149726,0.38952226392755074,0.3281062400169074,0.32628968253968255,0.4357142857142857,0.4142857142857143,0.37857142857142856
text=0.7_link=0.2_low=0.4_size=500,1.4342497794999989,0.24512661753219825,0.4000282975665988,0.35242738033201815,0.2882163641433716,0.3009920634920635,0.425,0.3964285714285714,0.3535714285714286
text=0.7_link=0.1_low=0.4_size=1280,8.783884010483733,0.32260502357436815,0.48044317046314744,0.4396597958089156,0.36575041780193296,0.39375,0.5160714285714286,0.4928571428571429,0.44107142857142856
text=0.7_link=0.1_low=0.4_size=800,3.521894327381201,0.30565851155873724,0.4642088429532155,0.4285847396931249,0.3613929773010655,0.3638888888888889,0.48928571428571427,0.4660714285714286,0.42142857142857143
text=0.7_link=0.1_low=0.4_size=500,1.4656034136206153,0.28166894466833214,0.48354292211934286,0.42709305465389363,0.33671543552772754,0.3459325396825397,0.5089285714285714,0.4714285714285714,0.4107142857142857
text=0.5_link=0.6_low=0.4_size=1280,9.709344320690509,0.25172369446694537,0.3745433645167288,0.33536721998959057,0.29316666165019584,0.37093253968253964,0.4857142857142857,0.45714285714285713,0.42142857142857143
text=0.5_link=0.6_low=0.4_size=800,3.7916471707193473,0.22645133346987825,0.3445779462438395,0.3135871846115629,0.2649394386582659,0.30734126984126986,0.4125,0.39285714285714285,0.3535714285714286
text=0.5_link=0.6_low=0.4_size=500,1.3884008733849778,0.20435957382854197,0.3576725713577044,0.3169887471990292,0.2206459707378716,0.27301587301587305,0.4035714285714286,0.3767857142857143,0.30892857142857144
text=0.5_link=0.4_low=0.4_size=1280,9.692127161419268,0.25845283170681577,0.38330754548156754,0.346089506287239,0.30006153827307147,0.36170634920634925,0.4714285714285714,0.44821428571428573,0.4160714285714286
text=0.5_link=0.4_low=0.4_size=800,3.5818923054909217,0.25447581428418575,0.3928868415333734,0.3558677120579041,0.2917498760029213,0.32053571428571437,0.43392857142857144,0.4107142857142857,0.3678571428571429
text=0.5_link=0.4_low=0.4_size=500,1.585618849804527,0.21191650316777091,0.3646966095065838,0.3269845294187791,0.2334318702384923,0.2700396825396825,0.3964285714285714,0.37142857142857144,0.30892857142857144
text=0.5_link=0.2_low=0.4_size=1280,9.363950754111668,0.305111653939646,0.44881607045864963,0.39682359040501747,0.3604589472707212,0.4046626984126984,0.5232142857142857,0.4982142857142857,0.4642857142857143
text=0.5_link=0.2_low=0.4_size=800,4.006158883028691,0.2699825326993178,0.42222548051249265,0.3756351810079473,0.31382961820998334,0.33263888888888893,0.4517857142857143,0.425,0.38571428571428573
text=0.5_link=0.2_low=0.4_size=500,1.3155429429478116,0.22464260374942288,0.38247387910646435,0.32667980756885756,0.2641320353990341,0.30753968253968256,0.44107142857142856,0.4089285714285714,0.3607142857142857
text=0.5_link=0.1_low=0.4_size=1280,8.284300698890343,0.2933741256164473,0.44281853882023114,0.40164561568938845,0.3264902423056836,0.3935515873015873,0.5196428571428572,0.4928571428571429,0.4392857142857143
text=0.5_link=0.1_low=0.4_size=800,3.0670111221549785,0.29112329647498725,0.46320380986903287,0.41367126649468794,0.3380695452203202,0.3678571428571429,0.5053571428571428,0.4714285714285714,0.425
text=0.5_link=0.1_low=0.4_size=500,1.2379273166501426,0.27645074187280555,0.49503041898325006,0.41595647942541775,0.3257937769842134,0.35625,0.5321428571428571,0.4875,0.4232142857142857
text=0.3_link=0.6_low=0.4_size=1280,9.278858317542323,0.22299967498151588,0.33181626779375406,0.29694582672407616,0.2589305843032121,0.37093253968253964,0.4857142857142857,0.45714285714285713,0.42142857142857143
text=0.3_link=0.6_low=0.4_size=800,3.655053009378149,0.20827429869876074,0.3190054818066886,0.2908825003097366,0.24498018911246114,0.30565476190476193,0.4107142857142857,0.39107142857142857,0.3517857142857143
text=0.3_link=0.6_low=0.4_size=500,1.4686921505217856,0.201803175371098,0.3519040483911703,0.31091644371030364,0.22511550818071027,0.2732142857142857,0.4035714285714286,0.3767857142857143,0.3107142857142857
text=0.3_link=0.4_low=0.4_size=1280,10.04624198884079,0.22108630798606146,0.3279879360645397,0.2959819816293819,0.25657966716272596,0.36170634920634925,0.4714285714285714,0.44821428571428573,0.4160714285714286
text=0.3_link=0.4_low=0.4_size=800,3.776024034342815,0.2310108292287719,0.3609839265842288,0.31993353346595427,0.268312389502782,0.3188492063492064,0.43214285714285716,0.4089285714285714,0.36607142857142855
text=0.3_link=0.4_low=0.4_size=500,1.4985162171911686,0.2006126609919365,0.349304156736198,0.30309805174065796,0.22874849692685706,0.2698412698412698,0.3964285714285714,0.36964285714285716,0.3107142857142857
text=0.3_link=0.2_low=0.4_size=1280,9.317896768731892,0.25005891516295475,0.36794693766112235,0.3256491286267507,0.29497958978359307,0.4046626984126984,0.5232142857142857,0.4982142857142857,0.4642857142857143
text=0.3_link=0.2_low=0.4_size=800,3.4123162517742234,0.2505481377481874,0.38793291657637363,0.3517738998741607,0.2933524132329362,0.3287698412698413,0.44821428571428573,0.42142857142857143,0.38035714285714284
text=0.3_link=0.2_low=0.4_size=500,1.2910502159370567,0.20651749507535683,0.35589443188691855,0.300917422058948,0.23704379075112433,0.3049603174603175,0.44107142857142856,0.40535714285714286,0.35892857142857143
text=0.3_link=0.1_low=0.4_size=1280,8.564361312172629,0.23776456414403735,0.3613917014808047,0.32220660187126404,0.26618366201773613,0.3922619047619047,0.5178571428571429,0.49107142857142855,0.4375
text=0.3_link=0.1_low=0.4_size=800,3.323197423328053,0.25986345258587484,0.4183100489630689,0.3641725725110484,0.29880966541044435,0.3639880952380953,0.5017857142857143,0.46785714285714286,0.41964285714285715
text=0.3_link=0.1_low=0.4_size=500,1.3179742574691773,0.2523806141869755,0.4580856490072217,0.38208958663605214,0.292540964825099,0.35248015873015875,0.5303571428571429,0.48214285714285715,0.41964285714285715
