backend,mean_time,AP@[IoU=0.10:0.95],AP@0.10,AP@0.30,AP@0.50,AR@[IoU=0.10:0.95],AR@0.10,AR@0.30,AR@0.50
opencv,0.051191352094922746,0.20002866058094254,0.3429187162615687,0.3048485190214462,0.2866147022910928,0.252465483234714,0.40236686390532544,0.3668639053254438,0.3431952662721893
ssd,0.02158776521682739,0.12080547445808884,0.16714152126514567,0.16172516365325124,0.15773732204164723,0.13839579224194606,0.1952662721893491,0.1834319526627219,0.17159763313609466
dlib,0.5398077198437282,0.2950109813040623,0.4647828341386349,0.44074311549763034,0.4161482883714667,0.32347140039447736,0.48520710059171596,0.46153846153846156,0.4378698224852071
mtcnn,0.23699758734021867,0.47758933756376926,0.6431327687905999,0.6431327687905999,0.6326698341645207,0.5285996055226825,0.6745562130177515,0.6745562130177515,0.6627218934911243
retinaface,0.9480698943138123,0.602492603844206,0.8083946749746661,0.7759476387870298,0.7574102423297069,0.6476002629848784,0.8224852071005917,0.7928994082840237,0.7751479289940828
yunet,0.01924739054271153,0.22672138148228915,0.31228759469399925,0.2996541934530214,0.2879757281382477,0.25213675213675213,0.34911242603550297,0.3254437869822485,0.30177514792899407
centerface,0.2178111059325082,0.6337918772997458,0.8643675591632131,0.8176162715151218,0.8079911339630249,0.6811308349769888,0.893491124260355,0.8579881656804734,0.8461538461538461
yolov8,0.08530526331492833,0.6368899035996148,0.8675352611809134,0.8311202570652543,0.8188846259519533,0.6785009861932939,0.8994082840236687,0.8698224852071006,0.8520710059171598
yolov11s,0.15705096891948156,0.6547437225651106,0.8915443546351515,0.860869710636325,0.8321017978554299,0.6916502301117685,0.9112426035502958,0.893491124260355,0.863905325443787
yolov11n,0.06917576619556971,0.6423467971041821,0.8729763925543643,0.8322091098629005,0.820187250471448,0.6860618014464168,0.8994082840236687,0.8698224852071006,0.8520710059171598
yolov11m,0.38255262545176916,0.6821957643980131,0.9178059148418163,0.8904715636381033,0.8508803658654002,0.7261669953977646,0.9408284023668639,0.9230769230769231,0.8816568047337278
