mbid,discogs_master_id,genre,year,decade
85afc0a2-2b3d-31cb-abd1-0c4eadae48a4,56161,Hip-Hop,2000,2000s
9e5a8111-562b-30c1-9ef2-04106388f80f,188345,Hip-Hop,2000,2000s
e7702da7-6ecd-3a6b-90be-dc4e10b0c22e,66277,Hip-Hop,2000,2000s
9352d5bd-202b-3730-94d9-2113043506de,106977,Hip-Hop,2000,2000s
b701014e-9697-397a-b257-00be44862a59,20039,Hip-Hop,2000,2000s
6925249f-2a41-334a-ae73-645a411a64d7,17141,Hip-Hop,2000,2000s
18f8e3d6-41f6-3fd4-8074-c3b3a1d34a72,176411,Hip-Hop,2000,2000s
0aed50a1-f1b7-3922-bb45-8481a79ab247,121233,Hip-Hop,2000,2000s
21956857-71d0-38ef-a5e6-892ba61ef73a,96663,Hip-Hop,2000,2000s
a2f4c5bb-15d6-3c9b-80f4-698a404970bb,92165,Hip-Hop,2000,2000s
75c3bef4-dd47-3d19-8d7a-22d6dcf9b4ab,77006,Hip-Hop,2000,2000s
cd40dbdf-f29e-336d-af41-0c2612f6917d,1141,Hip-Hop,2000,2000s
e1037462-1c88-3648-b548-40cdb3986afa,32778,Hip-Hop,2000,2000s
d510f404-a2ce-3e6b-8570-0eed1200465e,66973,Hip-Hop,2000,2000s
ce9e316a-ae60-376c-9e6a-6bd73ed28fd6,36442,Hip-Hop,2000,2000s
030966f7-9bdf-3a16-b036-5f4b7d828500,66376,Hip-Hop,2000,2000s
9e925e16-376c-31f4-b24d-32010a8f5d66,59209,Hip-Hop,2000,2000s
eba0388a-fed7-302f-a6d6-304607e59cca,104666,Hip-Hop,2000,2000s
a4cb5b59-6d54-3ab0-9e77-9724b325e358,112271,Hip-Hop,2000,2000s
2fb3b471-69ab-3506-ae3e-124066582f7a,135159,Hip-Hop,2000,2000s
b5ba6e8b-bcaa-336d-b611-9e311d752c0c,175189,Hip-Hop,2000,2000s
ce579b0f-b0e0-35c5-82c3-02dfa5f3de61,57275,Hip-Hop,2000,2000s
99df7912-dce0-3f0f-a8fe-e01db6db61a2,266550,Hip-Hop,2000,2000s
3046cc73-fe82-3301-9535-dfc0b3e4c749,104741,Hip-Hop,2000,2000s
2779ded6-ebba-3c9a-ae1a-cf8d13315bd0,146198,Hip-Hop,2000,2000s
fabc3ec9-2656-3a98-8fdd-4bc40a9ca8ba,32409,Hip-Hop,2000,2000s
